noOfCharacters,noOfWords,noOfUniqueWords,sentCount,noOfCommas,noOfSemicolons,noOfQuestions,noOfExclamation,noOfSpellErrors,meanWorldLength,avgWordLength,avgSentenceLength,stdDeviationSentence,noOfNounCount,noOfVerbCount,noOfAdjCount,noOfAdvCount,keywordRelevance,score
621,76,65,5,0,0,0,0,7,0,0.02654867256637168,22.6,9.76933979345585,26,11,7,10,2,2.0
1056,133,100,8,1,1,0,0,2,0,0.01,25.0,6.726812023536855,39,24,16,11,4,4.0
264,35,33,3,1,1,0,0,3,0,0.0196078431372549,17.0,3.559026084010437,11,3,6,1,0,2.0
1145,144,94,15,8,8,0,0,15,0,0.014563106796116505,13.733333333333333,5.720916787446648,48,15,18,14,9,4.0
920,106,77,4,7,7,0,0,10,0,0.012195121951219513,41.0,17.04406054905931,41,9,9,5,3,3.0
1192,146,104,12,8,8,0,0,18,0,0.009569377990430622,17.416666666666668,8.046306951363189,57,20,17,5,6,4.0
986,123,94,11,1,1,0,0,15,0,0.0546448087431694,16.636363636363637,6.812725089161889,50,15,13,3,5,3.0
313,38,32,2,0,0,0,0,5,0,0.03278688524590164,30.5,12.5,14,8,1,2,0,2.0
497,67,52,7,1,1,0,0,4,0,0.030927835051546393,13.857142857142858,5.248906591678239,22,4,6,5,4,2.0
458,57,47,5,2,2,0,0,3,0,0.03571428571428571,16.8,4.445222154178573,20,8,5,2,2,2.0
828,98,73,5,10,10,0,0,12,0,0.02054794520547945,29.2,14.931845163944073,37,15,12,4,2,3.0
606,75,53,5,6,6,0,0,12,0,0.018867924528301886,21.2,8.885943956609225,31,8,5,3,5,3.0
416,51,44,4,0,0,0,0,3,0,0.0375,20.0,11.554220008291344,11,11,3,6,1,2.0
577,68,61,5,8,8,0,0,5,0,0.0297029702970297,20.2,7.025667228100119,19,12,8,5,4,3.0
363,44,39,4,1,1,0,0,3,0,0.045454545454545456,16.5,9.17877987534291,17,8,4,2,2,2.0
495,59,52,3,2,2,0,0,2,0,0.03296703296703297,30.333333333333332,15.3260852434302,21,6,4,6,3,2.0
97,13,13,1,0,0,0,0,0,0,0.15,20.0,0.0,3,4,3,0,0,0.0
616,71,64,8,9,9,0,0,10,0,0.02912621359223301,12.875,4.985917668794783,31,8,5,3,3,2.0
576,77,63,5,0,0,0,0,7,0,0.02727272727272727,22.0,14.845874847916509,24,9,9,7,3,2.0
561,66,52,6,5,5,0,0,7,0,0.0196078431372549,17.0,7.637626158259733,26,8,6,4,5,2.0
942,115,96,10,11,11,0,1,17,0,0.017857142857142856,16.8,6.321392251711643,44,16,14,4,4,3.0
970,118,91,8,7,7,0,0,15,0,0.011560693641618497,21.625,8.365666440876064,48,14,10,6,11,4.0
342,47,36,1,2,2,0,0,3,0,0.041666666666666664,72.0,0.0,14,6,5,2,4,2.0
471,58,50,3,1,1,0,0,6,0,0.034482758620689655,29.0,11.343133018115703,20,3,7,3,4,2.0
167,21,19,2,0,0,0,0,1,0,0.08823529411764706,17.0,10.0,7,1,3,0,0,1.0
632,75,60,6,7,7,0,0,10,0,0.02608695652173913,19.166666666666668,8.029459646963936,26,16,5,4,4,3.0
470,68,55,8,0,0,0,0,4,0,0.07526881720430108,11.625,4.897384506039933,19,7,5,3,6,1.0
1105,130,96,8,10,10,0,0,18,0,0.015544041450777202,24.125,11.362630637312822,55,16,12,12,9,4.0
1193,144,111,9,13,13,0,0,15,0,0.014018691588785047,23.77777777777778,12.245432507018714,50,16,20,10,5,4.0
968,121,95,10,6,6,0,0,11,0,0.04142011834319527,16.9,5.48543526076099,42,17,11,7,7,4.0
825,110,80,8,3,3,0,0,12,0,0.020689655172413793,18.125,5.577577879330776,35,16,12,11,5,3.0
620,85,64,7,4,4,0,0,4,0,0.02586206896551724,16.571428571428573,7.423074889580904,34,10,10,4,4,3.0
295,34,31,4,0,0,0,0,0,0,0.08771929824561403,14.25,3.6996621467371855,14,5,2,3,1,1.0
847,102,78,11,3,3,0,0,5,0,0.019230769230769232,14.181818181818182,6.042548857412315,40,16,4,5,3,2.0
646,83,67,9,15,15,0,0,10,0,0.03361344537815126,13.222222222222221,3.965904066127721,25,16,8,9,2,1.0
1131,141,112,8,8,8,0,0,13,0,0.00966183574879227,25.875,10.552695153371957,46,16,17,11,7,4.0
315,41,30,3,0,0,0,0,0,0,0.047619047619047616,21.0,17.682382946499793,16,9,1,0,1,2.0
501,59,55,5,6,6,0,0,6,0,0.033707865168539325,17.8,9.947864092356712,22,9,6,5,2,2.0
742,89,75,10,2,2,0,0,8,0,0.021897810218978103,13.7,8.355237878121724,35,9,7,6,7,3.0
600,74,58,5,7,7,0,0,11,0,0.02830188679245283,21.2,11.338430226446693,29,10,11,6,7,3.0
757,87,67,9,3,3,0,0,10,0,0.051470588235294115,15.11111111111111,7.187094057242769,32,12,11,5,8,3.0
582,74,62,6,5,5,0,0,5,0,0.01818181818181818,18.333333333333332,10.386957633921922,23,5,13,11,0,2.0
202,27,24,1,3,3,0,0,5,0,0.07692307692307693,39.0,0.0,10,3,6,1,2,1.0
1068,125,104,13,11,11,0,0,14,0,0.010869565217391304,14.153846153846153,7.4920075757298115,48,18,13,4,9,4.0
733,94,64,8,8,8,0,0,13,0,0.030534351145038167,16.375,5.655473012931809,37,14,14,3,0,2.0
409,55,47,5,0,0,0,0,1,0,0.036585365853658534,16.4,5.748043145279966,19,9,8,4,3,2.0
223,28,27,2,3,3,0,0,4,0,0.047619047619047616,21.0,2.0,11,4,2,0,1,1.0
802,96,82,10,14,14,0,0,15,0,0.014598540145985401,13.7,7.267048919609665,41,8,14,10,4,3.0
548,68,42,7,3,3,0,0,7,0,0.031578947368421054,13.571428571428571,4.271404682207444,30,5,6,2,2,3.0
927,106,88,6,7,7,0,0,12,0,0.01818181818181818,27.5,5.251983752196243,40,23,12,8,4,3.0
166,22,21,1,0,0,0,0,0,0,0.08823529411764706,34.0,0.0,5,7,2,1,1,1.0
1265,146,123,12,18,18,0,0,18,0,0.014150943396226415,17.666666666666668,7.717224601860151,62,20,11,9,7,4.0
494,63,52,7,3,3,0,0,3,0,0.03225806451612903,13.285714285714286,3.730732816343027,22,5,5,2,1,2.0
820,103,77,9,6,6,0,0,14,0,0.013245033112582781,16.77777777777778,11.063230167017004,41,17,12,2,6,1.0
537,67,54,9,1,1,0,0,2,0,0.0297029702970297,11.222222222222221,7.020252888413918,22,13,10,4,5,2.0
272,36,31,4,2,2,0,0,3,0,0.06,12.5,3.5,12,4,2,1,3,2.0
153,20,17,2,0,0,0,0,1,0,0.0967741935483871,15.5,4.5,7,4,3,1,2,1.0
537,64,42,6,1,1,0,0,8,0,0.020618556701030927,16.166666666666668,7.690181330039551,31,4,6,2,1,2.0
618,73,60,5,4,4,0,0,11,0,0.01818181818181818,22.0,8.966604708583958,26,13,6,9,3,2.0
1260,150,98,10,15,15,0,0,13,0,0.00909090909090909,22.0,7.707139547199077,59,7,16,12,6,4.0
980,117,98,8,9,9,0,0,11,0,0.011695906432748537,21.375,10.049098218248242,42,22,9,7,3,4.0
633,82,57,4,3,3,0,0,3,0,0.0234375,32.0,13.546217184144066,22,10,6,5,1,1.0
797,93,73,7,8,8,0,0,6,0,0.06474820143884892,19.857142857142858,4.733726150223112,39,15,10,3,6,3.0
1197,143,105,8,7,7,0,0,16,0,0.014218009478672985,26.375,13.142845011640365,61,19,16,11,9,4.0
965,120,90,10,2,2,0,0,13,0,0.011560693641618497,17.3,9.757561170702441,50,12,14,6,4,3.0
741,93,72,5,1,1,0,0,10,0,0.027777777777777776,28.8,21.775215268740745,32,20,10,4,7,2.0
634,81,71,6,1,1,0,0,7,0,0.024,20.833333333333332,9.685326817178424,30,7,8,4,4,2.0
420,52,40,5,0,0,0,0,2,0,0.024390243902439025,16.4,4.841487374764082,18,6,4,1,0,1.0
752,95,63,10,4,4,0,0,8,0,0.021897810218978103,13.7,5.550675634551167,31,15,9,2,6,2.0
387,43,41,4,1,1,0,0,1,0,0.04477611940298507,16.75,6.417748826496718,16,10,6,2,2,2.0
972,127,101,12,4,4,0,0,11,0,0.010869565217391304,15.333333333333334,9.131751687868483,36,14,19,4,5,4.0
572,74,53,7,6,6,0,0,4,0,0.02830188679245283,15.142857142857142,6.577636818983621,25,12,3,4,3,2.0
445,52,37,5,0,0,0,0,1,0,0.039473684210526314,15.2,3.655133376499413,23,7,3,0,3,2.0
521,67,52,5,1,1,0,0,4,0,0.020202020202020204,19.8,5.035871324805669,26,9,6,2,2,2.0
705,89,60,7,4,4,0,0,5,0,0.023076923076923078,18.571428571428573,4.531071864901059,31,14,7,5,6,2.0
668,86,65,7,4,4,0,0,11,0,0.025,17.142857142857142,6.599319692829199,35,11,8,0,9,3.0
769,98,79,9,2,2,0,0,5,0,0.013422818791946308,16.555555555555557,3.402976184691901,34,20,11,4,5,2.0
235,29,27,2,1,1,0,0,2,0,0.06666666666666667,22.5,2.5,10,4,2,1,2,1.0
908,109,84,6,7,7,0,0,12,0,0.01875,26.666666666666668,20.417857108151406,42,14,11,9,9,4.0
1636,199,131,15,14,14,0,0,27,0,0.010752688172043012,18.6,9.991996797437437,85,31,24,14,15,4.0
402,49,39,6,4,4,0,0,8,0,0.02857142857142857,11.666666666666666,5.153208277913436,20,6,3,3,2,2.0
717,85,74,7,6,6,0,0,5,0,0.015625,18.285714285714285,6.4079032834302305,29,11,8,4,4,3.0
1020,119,96,8,8,8,0,0,13,0,0.038461538461538464,22.75,12.517487767120047,45,16,20,5,3,4.0
309,38,33,3,0,0,0,0,5,0,0.05357142857142857,18.666666666666668,6.599663291074443,11,4,4,2,2,2.0
743,93,77,7,8,8,0,0,16,0,0.015151515151515152,18.857142857142858,4.485805276602166,35,15,9,4,2,2.0
704,86,67,6,6,6,0,0,6,0,0.015748031496062992,21.166666666666668,12.654599515152144,29,10,6,4,3,2.0
1161,146,98,14,6,6,0,0,12,0,0.009389671361502348,15.214285714285714,7.747613194015408,57,26,12,11,7,4.0
67,9,9,1,0,0,0,0,0,0,0.21428571428571427,14.0,0.0,3,1,1,0,0,1.0
581,64,49,5,0,0,0,0,2,0,0.06930693069306931,20.2,9.579144011862438,23,8,8,4,3,2.0
690,91,75,10,6,6,0,0,6,0,0.014814814814814815,13.5,6.469157595854347,27,14,8,9,7,2.0
841,100,77,8,3,3,0,0,11,0,0.02040816326530612,18.375,7.296189073756244,44,9,11,6,6,3.0
537,66,57,8,2,2,0,0,2,0,0.0297029702970297,12.625,5.721396245672904,26,8,7,2,3,2.0
636,77,63,6,3,3,0,0,3,0,0.02586206896551724,19.333333333333332,6.073622386096199,22,13,9,2,3,2.0
857,101,74,11,4,4,0,0,7,0,0.013422818791946308,13.545454545454545,4.63903666260839,40,12,7,9,4,3.0
1319,162,125,16,9,9,0,0,14,0,0.012875536480686695,14.5625,5.978803705591948,56,26,13,11,8,4.0
905,109,86,7,3,3,0,0,17,0,0.043478260869565216,23.0,13.158375931050806,54,11,12,7,7,4.0
495,62,45,4,1,1,0,0,4,0,0.02247191011235955,22.25,2.680951323690902,23,5,5,5,4,2.0
1091,121,100,10,12,12,0,0,16,0,0.0223463687150838,17.9,6.472248450113762,55,18,14,6,6,4.0
890,110,88,9,6,6,0,0,6,0,0.01775147928994083,18.77777777777778,5.265775827143461,31,18,10,10,5,4.0
558,74,50,5,0,0,0,0,2,0,0.028037383177570093,21.4,7.002856560004639,24,8,6,5,4,3.0
488,60,47,6,3,3,0,0,4,0,0.03260869565217391,15.333333333333334,7.431165603202651,23,10,5,3,4,2.0
925,112,89,9,10,10,0,0,13,0,0.011560693641618497,19.22222222222222,13.480667456091647,47,18,15,6,7,3.0
43,6,6,1,0,0,0,0,0,0,0.3333333333333333,9.0,0.0,3,0,1,0,0,1.0
921,106,84,5,2,2,0,0,4,0,0.01775147928994083,33.8,11.070682002478437,31,12,15,9,5,3.0
709,87,69,6,3,3,0,0,5,0,0.015267175572519083,21.833333333333332,9.940098367498962,34,16,6,4,3,3.0
385,52,46,8,1,1,0,0,2,0,0.04,9.375,4.794202227691277,20,4,5,3,3,2.0
800,102,73,12,1,1,0,0,7,0,0.013157894736842105,12.666666666666666,3.6590830666833583,40,16,5,6,3,3.0
103,14,13,1,0,0,0,0,2,0,0.13636363636363635,22.0,0.0,8,0,1,1,0,0.0
319,41,35,4,1,1,0,0,3,0,0.046153846153846156,16.25,6.832825184358224,13,5,2,2,1,1.0
450,54,37,3,0,0,0,0,1,0,0.03614457831325301,27.666666666666668,9.741092797468305,20,10,3,3,1,2.0
1447,174,116,14,5,5,0,0,11,0,0.0038314176245210726,18.642857142857142,13.302025317635675,64,30,9,17,8,4.0
1325,155,119,13,15,15,0,0,18,0,0.008771929824561403,17.53846153846154,13.568149267907286,60,20,17,13,9,4.0
1353,165,124,13,15,15,0,0,24,0,0.008130081300813009,18.923076923076923,10.141017537031997,63,24,16,11,7,4.0
598,73,56,7,5,5,0,0,10,0,0.01834862385321101,15.571428571428571,4.981598792617913,30,13,7,6,8,3.0
461,54,47,3,7,7,0,0,4,0,0.03614457831325301,27.666666666666668,14.197026292697903,23,6,7,5,3,2.0
572,70,54,6,4,4,0,0,7,0,0.019417475728155338,17.166666666666668,6.718548123582124,26,11,8,2,3,2.0
1010,119,91,5,11,11,0,0,15,0,0.017045454545454544,35.2,36.19060651605607,48,14,14,4,9,4.0
852,101,78,9,7,7,0,0,17,0,0.014084507042253521,15.777777777777779,7.742778395637488,46,13,9,6,6,3.0
935,106,88,6,13,13,0,0,17,0,0.012269938650306749,27.166666666666668,15.026827860714835,44,16,11,7,3,3.0
1210,149,119,11,13,13,0,0,17,0,0.009345794392523364,19.454545454545453,13.186519537795451,49,16,20,9,10,4.0
429,52,37,5,0,0,0,0,1,0,0.08860759493670886,15.8,5.381449618829484,19,7,5,3,1,2.0
515,62,50,5,3,3,0,0,6,0,0.02197802197802198,18.2,9.495261976375375,23,4,3,2,2,2.0
563,74,59,7,3,3,0,0,3,0,0.028846153846153848,14.857142857142858,4.120630029101703,24,13,4,7,4,2.0
228,27,21,2,1,1,0,0,3,0,0.075,20.0,8.0,7,5,5,3,0,1.0
502,64,50,3,0,0,0,0,6,0,0.030303030303030304,33.0,17.378147196982766,25,5,6,3,2,2.0
718,88,64,8,1,1,0,0,5,0,0.014598540145985401,17.125,6.508408023472406,25,19,8,8,6,3.0
678,90,70,6,0,0,0,0,2,0,0.021739130434782608,23.0,12.436505404118419,30,8,10,6,5,3.0
486,62,45,6,0,0,0,0,0,0,0.03225806451612903,15.5,9.429563439877091,20,13,4,1,0,1.0
377,46,44,4,5,5,0,0,12,0,0.04838709677419355,15.5,7.88986691902975,18,6,3,6,2,1.0
441,58,43,6,0,0,0,0,8,0,0.037037037037037035,13.5,8.616843969807043,22,10,7,4,3,2.0
703,91,73,5,5,5,0,0,9,0,0.021739130434782608,27.6,16.353592877407703,28,11,9,4,2,2.0
547,60,57,7,4,4,0,0,5,0,0.07608695652173914,13.142857142857142,5.3030603409344526,26,6,9,5,1,2.0
432,55,44,5,0,0,0,0,0,0,0.03529411764705882,17.0,5.89915248150105,16,9,5,3,2,2.0
138,21,18,2,0,0,0,0,2,0,0.1,15.0,3.0,8,2,3,0,0,1.0
1238,143,101,10,20,20,0,0,15,0,0.00909090909090909,22.0,12.361229712289955,49,27,18,10,6,4.0
488,57,45,1,0,0,0,0,2,0,0.03296703296703297,91.0,0.0,17,11,9,4,1,1.0
1037,128,97,9,13,13,0,0,21,0,0.010810810810810811,20.555555555555557,8.029267451173185,51,16,13,6,8,3.0
673,83,61,3,1,1,0,0,4,0,0.023622047244094488,42.333333333333336,10.498677165349081,26,11,9,6,1,3.0
740,94,74,11,0,0,0,0,1,0,0.014285714285714285,12.727272727272727,7.640691414345707,32,13,12,6,3,3.0
310,40,37,3,0,0,0,0,4,0,0.05084745762711865,19.666666666666668,11.897712198383164,18,1,6,4,4,1.0
299,42,33,3,0,0,0,0,4,0,0.10606060606060606,22.0,4.546060565661952,13,6,1,3,1,1.0
641,75,59,4,1,1,0,0,4,0,0.017857142857142856,28.0,28.293108701590217,22,6,7,6,3,2.0
275,31,25,4,0,0,0,0,3,0,0.022727272727272728,11.0,4.636809247747852,9,9,3,3,0,1.0
245,28,28,2,0,0,0,0,0,0,0.044444444444444446,22.5,0.5,8,7,5,0,0,1.0
210,23,22,1,0,0,0,0,0,0,0.07692307692307693,39.0,0.0,7,5,3,2,1,2.0
1064,126,105,5,7,7,0,0,16,0,0.015957446808510637,37.6,25.989228537992425,56,15,14,8,8,3.0
869,106,75,4,6,6,0,0,9,0,0.006211180124223602,40.25,20.474068965401088,37,20,10,7,7,2.0
354,48,39,3,2,2,0,0,3,0,0.041666666666666664,24.0,7.788880963698615,13,10,5,1,0,1.0
537,75,57,5,0,0,0,0,7,0,0.02912621359223301,20.6,6.374950980203691,30,11,6,2,2,2.0
392,47,40,5,2,2,0,0,2,0,0.04225352112676056,14.2,1.9390719429665315,18,9,1,3,1,2.0
644,79,58,9,4,4,0,0,5,0,0.017391304347826087,12.777777777777779,4.184037863058384,26,11,14,5,5,2.0
625,77,61,8,3,3,0,0,6,0,0.02586206896551724,14.5,6.244997998398398,25,11,7,6,5,2.0
920,116,96,7,5,5,0,0,7,0,0.011111111111111112,25.714285714285715,13.198639385658396,38,27,14,6,3,2.0
168,23,22,1,0,0,0,0,1,0,0.06060606060606061,33.0,0.0,7,2,3,3,0,1.0
1071,128,95,12,6,6,0,0,6,0,0.010362694300518135,16.083333333333332,3.882832585740581,46,21,13,6,1,3.0
1101,130,113,13,3,3,0,0,12,0,0.016304347826086956,14.153846153846153,5.708915481624453,59,11,8,13,8,4.0
685,84,72,5,5,5,0,0,3,0,0.023809523809523808,25.2,13.962807740565648,29,11,6,7,2,2.0
1125,139,98,14,7,7,0,0,19,0,0.00980392156862745,14.571428571428571,9.155125697149781,46,23,17,13,8,3.0
418,54,48,4,0,0,0,0,2,0,0.03896103896103896,19.25,11.211043662389331,22,6,5,1,4,1.0
231,31,26,1,3,3,0,0,3,0,0.06666666666666667,45.0,0.0,9,3,3,3,2,1.0
750,91,73,8,7,7,0,0,8,0,0.022058823529411766,17.0,8.645808232895291,33,14,9,4,5,3.0
792,94,75,8,4,4,0,0,8,0,0.013986013986013986,17.875,8.908387901298417,35,12,8,9,4,1.0
1656,184,149,13,18,18,0,0,23,0,0.025830258302583026,20.846153846153847,9.13022161535864,74,31,22,12,2,4.0
789,102,69,6,6,6,0,0,8,0,0.033783783783783786,24.666666666666668,14.161763857498668,36,18,12,7,1,2.0
898,108,83,1,0,0,0,0,1,0,0.011834319526627219,169.0,0.0,34,13,7,8,4,3.0
702,88,78,6,2,2,0,0,6,0,0.014598540145985401,22.833333333333332,10.77677544021814,32,9,5,2,1,3.0
353,46,43,4,0,0,0,0,3,0,0.04285714285714286,17.5,8.52936105461599,13,10,3,2,3,2.0
780,93,76,8,2,2,0,0,11,0,0.028985507246376812,17.25,9.45714015968887,40,14,7,5,4,2.0
582,69,58,5,2,2,0,0,4,0,0.028846153846153848,20.8,10.264501936285072,29,12,6,2,2,3.0
1105,134,104,8,13,13,0,0,17,0,0.01,25.0,12.718097341976904,45,22,17,6,0,1.0
611,76,55,3,1,1,0,0,4,0,0.024793388429752067,40.333333333333336,33.089105289942324,25,11,9,1,5,3.0
744,90,68,4,4,4,0,0,5,0,0.023076923076923078,32.5,37.286056375004314,35,16,8,5,3,3.0
1125,137,87,1,0,0,0,0,0,0,0.01327433628318584,226.0,0.0,42,19,12,4,4,2.0
305,40,35,4,0,0,0,0,2,0,0.016666666666666666,15.0,5.431390245600108,11,7,5,5,1,1.0
327,39,34,1,4,4,0,0,7,0,0.04838709677419355,62.0,0.0,17,7,6,1,2,1.0
853,106,77,4,10,10,0,0,12,0,0.02027027027027027,37.0,20.049937655763422,44,18,9,5,7,3.0
368,46,35,4,1,1,0,0,2,0,0.043478260869565216,17.25,8.257572282456872,13,8,7,3,3,1.0
842,98,87,7,7,7,0,0,6,0,0.041379310344827586,20.714285714285715,7.477858473315658,42,11,13,6,2,2.0
769,92,74,5,9,9,0,0,9,0,0.020833333333333332,28.8,14.274452704044382,36,15,7,5,7,3.0
260,34,30,3,0,0,0,0,2,0,0.061224489795918366,16.333333333333332,2.494438257849294,11,2,2,1,3,1.0
369,46,34,3,3,3,0,0,3,0,0.045454545454545456,22.0,12.754084313139327,23,5,1,2,2,2.0
675,82,64,4,7,7,0,0,12,0,0.024,31.25,20.620075169601105,32,11,8,4,4,2.0
409,56,33,5,3,3,0,0,3,0,0.02564102564102564,15.6,6.560487786742691,22,2,3,3,0,1.0
405,52,44,5,0,0,0,0,3,0,0.0379746835443038,15.8,5.2687759489277965,17,8,4,1,3,1.0
260,32,27,2,0,0,0,0,1,0,0.0625,24.0,7.0,9,7,0,2,1,1.0
234,30,29,3,1,1,0,0,0,0,0.022222222222222223,15.0,4.898979485566356,10,8,3,3,1,1.0
866,101,77,7,4,4,0,0,5,0,0.019867549668874173,21.571428571428573,8.715456595811224,40,10,11,5,3,3.0
274,33,28,2,0,0,0,0,0,0,0.05172413793103448,29.0,17.0,10,5,5,1,0,1.0
487,61,55,4,1,1,0,0,5,0,0.044444444444444446,22.5,6.726812023536855,17,9,6,3,3,3.0
1515,185,123,11,10,10,0,0,13,0,0.010869565217391304,25.09090909090909,8.218101367265108,57,27,28,12,8,4.0
1458,175,115,11,15,15,0,0,20,0,0.011857707509881422,23.0,10.600171525198842,69,29,20,16,9,4.0
642,76,53,6,4,4,0,0,4,0,0.02586206896551724,19.333333333333332,6.394442031083626,28,7,9,3,2,2.0
609,78,66,6,8,8,0,0,9,0,0.02654867256637168,18.833333333333332,3.5784850922639815,25,14,8,6,6,2.0
1046,130,92,10,6,6,0,0,10,0,0.010416666666666666,19.2,6.867313885355758,53,18,8,10,8,3.0
971,122,79,9,1,1,0,0,1,0,0.015957446808510637,20.88888888888889,6.690697429922044,38,13,13,12,8,3.0
555,75,57,4,4,4,0,0,9,0,0.043859649122807015,28.5,7.5,39,8,9,2,0,2.0
436,54,44,7,0,0,0,0,4,0,0.036585365853658534,11.714285714285714,3.057276365576099,17,12,4,2,1,2.0
574,70,57,6,4,4,0,0,3,0,0.02727272727272727,18.333333333333332,6.871842709362768,27,13,7,4,5,2.0
602,76,63,7,5,5,0,0,6,0,0.02586206896551724,16.571428571428573,12.350328426600564,31,8,9,8,7,2.0
876,107,74,12,7,7,0,0,17,0,0.019736842105263157,12.666666666666666,5.104464277037851,48,10,13,6,10,3.0
988,124,85,15,1,1,0,0,8,0,0.01639344262295082,12.2,4.052982440952177,41,20,14,13,13,4.0
1217,145,105,13,8,8,0,0,17,0,0.014218009478672985,16.23076923076923,6.772726370170812,54,13,16,6,5,4.0
270,38,34,4,2,2,0,0,4,0,0.03571428571428571,14.0,14.508618128546908,9,8,2,2,0,1.0
700,85,57,5,0,0,0,0,0,0,0.007692307692307693,26.0,15.388307249337076,30,13,10,1,1,3.0
482,58,54,3,1,1,0,0,4,0,0.034482758620689655,29.0,5.656854249492381,22,5,7,7,2,2.0
575,72,54,4,2,2,0,0,4,0,0.04716981132075472,26.5,12.298373876248844,28,11,5,3,3,2.0
497,67,46,9,0,0,0,0,2,0,0.031578947368421054,10.555555555555555,3.370166864022911,18,10,5,6,5,1.0
808,92,78,6,10,10,0,0,11,0,0.02158273381294964,23.166666666666668,7.335227028221794,39,16,9,3,5,3.0
622,72,61,4,5,5,0,0,4,0,0.027522935779816515,27.25,6.139014578904337,24,7,10,6,1,2.0
470,59,51,6,2,2,0,0,5,0,0.03614457831325301,13.833333333333334,5.727613425813194,25,7,6,4,4,2.0
329,40,31,3,0,0,0,0,2,0,0.04838709677419355,20.666666666666668,8.993825042154695,15,5,3,1,0,1.0
477,55,45,3,1,1,0,0,12,0,0.02531645569620253,26.333333333333332,25.30261295246446,24,10,9,0,2,1.0
890,115,68,13,1,1,0,0,5,0,0.030120481927710843,12.76923076923077,4.0979140313437545,43,16,8,2,6,3.0
892,102,81,7,8,8,0,0,8,0,0.012195121951219513,23.428571428571427,17.56503948885108,31,16,14,9,7,3.0
796,96,75,7,3,3,0,0,7,0,0.04794520547945205,20.857142857142858,9.789623828006752,31,17,10,8,5,3.0
325,40,38,7,0,0,0,0,3,0,0.05,8.571428571428571,3.81190401832181,16,6,4,2,2,2.0
457,62,51,4,1,1,0,0,10,0,0.022222222222222223,22.5,9.394147114027968,27,7,5,3,4,1.0
334,43,38,4,1,1,0,0,2,0,0.06060606060606061,16.5,9.394147114027968,13,13,3,1,0,1.0
1169,143,110,9,10,10,0,0,12,0,0.014285714285714285,23.333333333333332,9.545214042184234,44,26,16,8,10,4.0
1030,127,95,9,7,7,0,0,12,0,0.015873015873015872,21.0,10.28483241369434,48,15,11,9,4,3.0
564,64,49,3,2,2,0,0,3,0,0.027522935779816515,36.333333333333336,6.944222218666553,18,16,4,3,1,3.0
229,26,24,4,0,0,0,0,3,0,0.07317073170731707,10.25,2.165063509461097,9,5,4,0,1,1.0
387,47,38,4,1,1,0,0,5,0,0.04411764705882353,17.0,6.041522986797286,18,4,8,0,2,2.0
230,29,27,3,2,2,0,1,4,0,0.07142857142857142,14.0,5.887840577551898,9,4,2,3,1,1.0
373,48,40,6,1,1,0,0,1,0,0.041666666666666664,12.0,3.415650255319866,15,11,3,2,2,2.0
870,97,83,5,8,8,0,0,14,0,0.04794520547945205,29.2,12.286578042726134,38,8,10,5,4,3.0
650,81,63,6,3,3,0,0,6,0,0.024390243902439025,20.5,6.2915286960589585,29,12,8,4,7,3.0
762,99,76,7,5,5,0,0,6,0,0.014084507042253521,20.285714285714285,8.663788114317889,31,11,9,4,2,2.0
568,69,62,7,0,0,0,0,5,0,0.0297029702970297,14.428571428571429,6.366365701473483,28,12,5,3,4,2.0
341,42,37,4,2,2,0,0,2,0,0.047619047619047616,15.75,4.710360920354193,13,9,7,4,1,2.0
889,111,84,11,2,2,0,0,14,0,0.024242424242424242,15.0,7.422325046163708,39,13,15,6,7,3.0
803,96,81,7,2,2,0,0,9,0,0.02027027027027027,21.142857142857142,8.113983897807387,38,16,12,2,5,3.0
422,58,47,5,3,3,0,0,8,0,0.0375,16.0,10.353743284435827,16,5,9,7,3,2.0
234,30,28,4,0,0,0,0,0,0,0.06666666666666667,11.25,3.2691742076555053,9,5,4,2,0,1.0
544,65,52,5,5,5,0,0,6,0,0.030303030303030304,19.8,8.133879763065101,23,8,9,5,1,2.0
505,65,55,5,4,4,0,0,7,0,0.03225806451612903,18.6,10.480458005259122,20,10,8,5,2,2.0
808,101,79,5,4,4,0,0,10,0,0.013333333333333334,30.0,20.29778313018444,36,11,10,5,5,2.0
564,68,54,5,4,4,0,0,4,0,0.019417475728155338,20.6,11.429785649783637,27,9,6,2,2,3.0
679,76,66,4,3,3,0,0,8,0,0.061946902654867256,28.25,10.894379284750462,33,6,10,7,2,2.0
513,58,47,2,3,3,0,0,7,0,0.01098901098901099,45.5,22.5,21,9,5,8,1,2.0
467,56,50,6,1,1,0,0,11,0,0.024390243902439025,13.666666666666666,6.446359868604572,21,10,6,1,3,2.0
516,62,50,6,3,3,0,0,7,0,0.031914893617021274,15.666666666666666,8.919392106839767,24,6,4,4,6,3.0
440,54,44,1,1,1,0,0,5,0,0.03571428571428571,84.0,0.0,21,8,4,4,1,2.0
409,52,45,7,1,1,0,0,4,0,0.024390243902439025,11.714285714285714,3.806546455564065,18,6,6,3,2,2.0
166,20,18,2,0,0,0,0,0,0,0.0967741935483871,15.5,9.5,6,4,1,1,0,1.0
145,20,18,2,1,1,0,0,0,0,0.0967741935483871,15.5,7.5,4,5,4,2,0,1.0
764,93,78,7,4,4,0,0,12,0,0.028985507246376812,19.714285714285715,6.1577891606435164,36,11,11,7,6,3.0
